"treatment","I","gamma","m","lam","beta","stay","alpha"
1,3.174096935,2.1145135275,0.980494146,0.6836300105,0.45723193935,0.695899463,1.76154123
1,2.43272329,4.127845635,0.9139253855,0.5080761144,0.603936757,1.5672871985,1.76154123
1,2.61924044,3.001224445,1.030726856,0.4048868176,0.674656363,0.661059694,1.76154123
1,2.865958785,3.61007904,1.06761545,0.20634601789,0.946428403,0.8706838735,1.76154123
1,2.4002598,2.9523932,0.955300931,0.35470921345,0.8556217405,1.9890340135,1.76154123
1,3.22364468,4.72340406,0.9456974005,0.46388771535,0.6945903315,0.7479773165,1.76154123
1,2.784288295,3.91026052,1.051786284,0.50281122825,0.71092458,0.4890187615,1.76154123
1,2.08911381,4.259349895,0.891930767,0.4077939869,0.524927351,0.685091752,1.76154123
1,1.979621905,3.594614015,0.934985929,0.8004348185,1.1263775945,0.5743664805,1.76154123
1,0.7794532515,2.278266535,1.1215428155,0.4169223108,0.527071562,0.8222901163,1.76154123
1,3.691281965,3.95429391,1.039589328,0.5609082925,0.655031279,0.7317613365,1.76154123
1,1.8422004,2.87266697,0.989224214,0.26507797975,0.78859489,1.570944838,1.76154123
1,1.89450492,5.978548555,1.2214920175,0.2054271982,0.5391134995,0.7170136605,1.76154123
1,2.24193699,4.487908815,0.877884407,0.504936084,0.44496070055,0.773490665,1.76154123
1,2.02072514,2.2138399765,1.061957473,0.4903904267,0.700857727,0.7470167125,1.76154123
1,0.777526017,3.02511184,0.992252627,0.3812022933,1.2078248735,0.9974977587,1.76154123
1,2.76167774,4.784198695,1.1526988075,0.5780505082,0.6536497775,0.513224474,1.76154123
1,3.97560897,4.469080635,1.0156206355,0.8102037445,0.31543311655,0.602029494,1.76154123
1,1.782164095,3.797086445,0.88567203,0.39479673885,0.8787015465,1.14149528,1.76154123
1,0.988461892,2.193378908,0.889893505,0.35912747985,0.9513237215,1.444106777,1.76154123
1,2.93924158,2.9469614235,0.8747445835,0.4931074725,0.6791937545,0.1779258566,1.76154123
1,1.59956458,1.8676671625,0.8322154585,0.5189603333,0.576776089,0.6226419679,1.76154123
1,1.168482998,3.061155275,0.7396389435,0.27042632115,0.711364447,0.69376006825,1.76154123
1,2.261126315,4.08928073,0.879206743,0.606175937,0.36503757205,0.9960251915,1.76154123
1,2.70670019,4.681711115,1.0595301345,0.673886661,1.188903822,0.26668886465,1.76154123
