"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"94",-5417.01,-1.71287,1.3144,2.78389,3.7194,3.18588,0.710976,1.42229,1,0,0,1,94,1,1
"95",-5415.21,-3.40954,1.32186,2.86513,3.76553,3.1559,0.709148,1.45976,1,0,0,1,95,1,1
"96",-5422.42,-1.85295,1.33179,2.95461,3.88328,3.05917,0.70211,1.4386,1,0,0,1,96,1,1
"97",-5425.82,-1.58132,1.32034,2.79745,3.80218,2.91844,0.702092,1.42418,1,0,0,1,97,1,1
"98",-5419.08,-0.474768,1.31597,2.76737,3.73995,3.04889,0.710123,1.43235,1,0,0,1,98,1,1
"99",-5417.96,-0.794926,1.3168,2.65489,3.73385,3.10624,0.710407,1.43097,1,0,0,1,99,1,1
"100",-5414.89,-3.62947,1.32623,3.11522,3.6145,3.01407,0.69974,1.44671,1,0,0,1,100,1,1
"101",-5416.81,-1.09204,1.33447,2.85669,3.70367,3.09677,0.699981,1.43401,1,0,0,1,101,1,1
"102",-5414.49,-1.7461,1.32749,2.73448,3.63394,3.14283,0.695289,1.42951,1,0,0,1,102,1,1
"103",-5421.6,-1.63213,1.32634,2.6773,3.89046,3.03745,0.697929,1.43804,1,0,0,1,103,1,1
"104",-5417.78,-2.76809,1.34212,2.76367,3.68895,3.13903,0.696745,1.43264,1,0,0,1,104,1,1
"105",-5420.39,-3.01955,1.3086,2.65035,3.79768,3.1678,0.709387,1.41575,1,0,0,1,105,1,1
"106",-5415.04,-5.07558,1.33007,3.09861,3.85153,3.20874,0.689325,1.44262,1,0,0,1,106,1,1
"107",-5420.58,-1.75341,1.32732,2.64449,3.67251,3.08393,0.716565,1.43101,1,0,0,1,107,1,1
"108",-5427.74,-2.52841,1.32781,3.08452,3.79453,2.96228,0.712731,1.43386,1,0,0,1,108,1,1
"109",-5423.61,-2.25406,1.33803,2.605,3.73802,3.05593,0.699688,1.42195,1,0,0,1,109,1,1
"110",-5412.62,-4.58604,1.30504,2.77972,3.59494,3.22911,0.711155,1.43795,1,0,0,1,110,1,1
"111",-5413.83,-3.92048,1.32015,2.68978,3.65878,3.04093,0.682695,1.43046,1,0,0,1,111,1,1
"112",-5433.03,-4.00216,1.32408,2.83645,3.84248,3.02225,0.72661,1.4404,1,0,0,1,112,1,1
"113",-5415.32,-3.6557,1.32522,2.89943,3.89908,3.12969,0.69407,1.45231,1,0,0,1,113,1,1
"114",-5436.93,-4.48009,1.34737,2.75741,3.8556,3.04739,0.714536,1.42399,1,0,0,1,114,1,1
"115",-5436.16,-2.57851,1.33363,2.71918,3.88999,2.97474,0.71191,1.42469,1,0,0,1,115,1,1
"116",-5417.18,-1.13503,1.32846,3.00027,3.74365,3.12043,0.699865,1.42984,1,0,0,1,116,1,1
"117",-5418.66,-2.70487,1.31229,2.82823,3.87607,3.21881,0.710768,1.43329,1,0,0,1,117,1,1
"118",-5429.53,-4.60066,1.31091,2.58207,3.95483,2.98596,0.707554,1.44747,1,0,0,1,118,1,1
"119",-5423.77,-1.01925,1.31498,2.76072,3.80571,3.05222,0.711035,1.42314,1,0,0,1,119,1,1
"120",-5414.25,-3.47688,1.30652,2.97876,3.64023,3.17129,0.697413,1.42672,1,0,0,1,120,1,1
"121",-5421.59,-5.41705,1.32563,3.15486,3.93324,3.08662,0.689054,1.42209,1,0,0,1,121,1,1
"122",-5417.32,-0.962364,1.32067,2.85828,3.66416,3.06998,0.712743,1.43358,1,0,0,1,122,1,1
"123",-5414.05,-1.81988,1.32806,2.6558,3.71448,3.06449,0.695377,1.44646,1,0,0,1,123,1,1
"124",-5424.31,-2.49364,1.3343,2.86645,3.64096,2.95714,0.709265,1.4229,1,0,0,1,124,1,1
"125",-5417.71,-1.36261,1.31391,2.57648,3.70582,3.07291,0.705945,1.42647,1,0,0,1,125,1,1
