"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"42","I[27]",0.907506764,0.900401,0.106973941655629,0.1060036761,0.7444163,1.0956095,1.00025187854123,1943.59119517737,1962.49249375557
"43","I[28]",1.99247505,1.98418,0.239936088828794,0.234065475,1.6144785,2.409712,0.999560533125173,1837.40300398117,1722.08484981835
"44","I[29]",4.27460124,4.257765,0.459869670563862,0.460376952,3.569681,5.077478,0.9998690736881,2100.19588876717,2092.42118306725
"45","I[30]",2.55643133,2.537065,0.25630623340854,0.262835328,2.166674,3.0000725,1.00009142923457,2031.26856511673,1888.22452974146
"46","I[31]",0.813230531,0.7969595,0.149150647399443,0.1464667953,0.60062845,1.0735485,0.999672478545687,1851.2610870601,1962.73343888589
"47","I[32]",2.061518285,2.03922,0.243519801392913,0.236452461,1.6915845,2.4813895,0.999601541291646,1918.23570252242,1625.95694789987
"48","I[33]",2.149150875,2.134585,0.236373834026084,0.229447176,1.7874175,2.565967,0.999837946950078,2005.35987475441,1880.40200908211
"49","I[34]",2.64322682,2.629905,0.265551800436459,0.260233365,2.2321165,3.0913165,1.00059649652223,2072.99029946991,1921.09889758223
"50","I[35]",2.090399295,2.081785,0.215321583631418,0.212871708,1.761163,2.46502,0.999842546236241,1926.10414116292,1703.19393272412
"51","I[36]",1.89788197,1.878595,0.237800112045944,0.228594681,1.536015,2.3208475,1.00099816674624,1894.82891625279,1847.15004656627
"52","I[37]",3.238734765,3.218205,0.35902483495756,0.358062726,2.6784405,3.8468635,1.00172093422315,1962.62771898023,1879.07861671789
"53","I[38]",2.03178537,2.020695,0.212440650964344,0.216333579,1.6980925,2.385052,1.00030824247844,1945.75115055289,2004.13877981891
"54","I[39]",2.453539785,2.44489,0.278500004294614,0.282227736,2.0208545,2.914409,0.999708512644961,1946.95116173001,1719.72016217167
"55","I[40]",1.0663625105,1.059575,0.118578457052972,0.1153944645,0.88378955,1.2733955,1.00023152714893,1813.54081173598,1822.68979283835
"56","I[41]",2.84452069,2.8139,0.358570580449102,0.353703882000001,2.2911925,3.4910035,1.00072881196665,1912.24008340452,1883.02107076623
"57","I[42]",2.47230161,2.44439,0.312310028484604,0.31156839,2.0120025,3.026273,1.00059464979895,1851.57143619006,1759.8586775433
"58","I[43]",2.713493925,2.69562,0.294716241780172,0.287016534,2.2610105,3.227551,1.00012741647126,1909.83980099044,1919.35298469675
"59","I[44]",2.47142076,2.45633,0.270083610827909,0.268580403,2.049273,2.9334775,1.00032543504188,1932.49740264772,1818.6077348136
"60","I[45]",0.78587497,0.7780715,0.102049716628804,0.0995180424,0.6293125,0.96184995,0.999574431168814,1863.75135792728,1666.1114716213
"61","I[46]",3.10862294,3.092215,0.327396955847799,0.323036301,2.6284535,3.701269,0.999549814594957,2020.36041149953,1920.90947540814
"62","I[47]",0.716963333,0.70624,0.132882244348666,0.1303242465,0.5187761,0.9489609,0.999504004253383,1691.64637446717,1702.98403944642
"63","I[48]",1.056106614,1.03858,0.182844250999149,0.1820988624,0.7962547,1.3754435,0.999779975023167,1958.92366666015,1953.78102456357
"64","m[1]",1.30947978,1.30164,0.157561461743,0.149705535,1.0586195,1.58374,1.00053091628185,1855.93926164263,1654.49468979583
"65","m[2]",1.0382463805,1.026065,0.176287027636072,0.1719030222,0.7745907,1.3535095,1.00105193769509,2093.48150424,1956.25326160529
"66","m[3]",1.200810387,1.18659,0.159970471435146,0.153404622,0.95686125,1.47996,1.00102838035607,1981.51730389537,2012.3402948107
"67","m[4]",0.76522769,0.748778,0.135745967268732,0.1298335059,0.56993525,1.004864,0.9995024994592,2095.14332130057,1971.33495619657
"68","m[5]",1.157340447,1.140975,0.198879028772027,0.203939043,0.85826295,1.5015055,1.00013525782097,1954.13009161139,1980.01219623532
"69","m[6]",1.1336428535,1.120955,0.169186375605098,0.169364811,0.8802979,1.4322965,1.00101141304624,2002.79532591812,1920.10805454017
"70","m[7]",1.087308179,1.07379,0.171973357113651,0.1662698835,0.83014685,1.381962,1.00135914240089,1788.24631705753,1779.15847598633
"71","m[8]",1.1371167285,1.129645,0.149174481928928,0.150973158,0.91277295,1.385487,0.999718083909242,2039.91280413289,1855.16516764727
"72","m[9]",1.046206157,1.037305,0.143120760792791,0.1424600688,0.83036165,1.2957155,1.00012021790913,2008.49865658472,1959.92797555622
"73","m[10]",1.1202078065,1.112885,0.132195346536446,0.127703751,0.91320805,1.349261,1.00036602650451,1975.6278449977,2001.18275150363
"74","m[11]",1.21723219,1.201315,0.163241988215711,0.156777537,0.97290355,1.5112825,0.999744977777352,1983.13644084984,1796.80398629411
"75","m[12]",0.9887948695,0.97104,0.173965400781305,0.1616501019,0.7386965,1.293263,1.00021154013918,1996.49828734862,2047.06098959464
"76","m[13]",0.788347647,0.778117,0.141279197640241,0.1380841749,0.5832738,1.0308825,1.00036166206487,1677.8885575213,1662.52483012307
"77","m[14]",0.9180931755,0.905901,0.142809554875157,0.1380715728,0.7029981,1.165743,1.00015945111583,2133.24069426664,2020.86735426859
"78","m[15]",0.850363683,0.8449945,0.100394723478307,0.0982126131,0.69740225,1.0249055,1.00041259727273,1901.7896708943,1801.74401433393
"79","m[16]",1.008646272,0.992073,0.19651325210779,0.1962791901,0.72688505,1.353095,0.999610253251197,2068.25091098955,1822.44498418765
"80","m[17]",0.747948187,0.7380195,0.143233200470074,0.1447996116,0.5342787,1.0045325,0.999514930912758,1787.65464122788,1981.24714940626
"81","m[18]",0.9191887055,0.9111095,0.113718886785717,0.1104714912,0.7498472,1.1169025,0.999524582652055,2017.35555596606,1663.73421801514
"82","m[19]",1.082612427,1.069635,0.163825037438038,0.1633120965,0.8421111,1.3705665,1.00137075847054,1917.29751572066,1922.03358582608
"83","m[20]",0.772833767,0.762778,0.113557689171472,0.1118095377,0.59861585,0.97294465,0.999610418455287,2100.52734954713,1901.54204576399
"84","m[21]",1.1527803665,1.148105,0.129217243508404,0.128037336,0.9486408,1.372407,1.00040720969873,1892.64140579505,1650.37340863315
"85","m[22]",1.1739078475,1.163465,0.221105228963683,0.2134944,0.8493476,1.5662105,1.00011339718794,1979.32867856163,1885.13134843522
"86","m[23]",1.178984515,1.16511,0.209840262677311,0.209580336,0.85868045,1.537634,0.999687181513641,2112.3091862402,1816.76480953258
"87","m[24]",0.97775203,0.9648135,0.14383093038059,0.1420871949,0.76275225,1.2367065,1.0023577469384,2021.26490281884,1679.80041405222
"88","m[25]",1.064637602,1.054495,0.149339492742241,0.1519242459,0.8391112,1.3266365,1.00223497379408,2096.55481556137,1841.80916856693
"89","m[26]",0.8468271355,0.8361825,0.140970260384993,0.1454927271,0.6423325,1.094493,1.00114602429385,2014.40803306565,2002.33560746946
"90","m[27]",0.929694533,0.918465,0.16946818007986,0.1628999337,0.6721277,1.225247,0.999768361025489,1896.14063730714,1799.76441833632
"91","m[28]",1.061633374,1.0513,0.132669723655032,0.1321923225,0.8602104,1.292857,1.00042227848622,1598.91600155998,1738.26592657193
"92","m[29]",1.007750526,0.9896655,0.168711469739506,0.1597419957,0.7549736,1.3019595,0.999729223844937,2068.23920458693,1962.73343888589
"93","m[30]",1.0826028155,1.07369,0.143768717653839,0.143078313,0.85746,1.345599,1.0045571350491,2074.08867356506,1799.52835998932
"94","m[31]",1.207612984,1.197445,0.170187835267419,0.163634562,0.9438126,1.504264,1.00143133440905,1876.20961663425,1848.18348636236
"95","m[32]",1.06909259,1.061765,0.132046905170744,0.1293457305,0.8659314,1.300741,0.999954067966213,2009.23917581222,1865.0114972116
"96","m[33]",1.070197763,1.057975,0.197571079151799,0.1925393316,0.77233345,1.409674,0.999942793078014,1998.4463101975,1830.48604346052
"97","m[34]",0.93579327,0.928528,0.135127796578558,0.132581505,0.7288426,1.1718565,1.00087103747144,1923.74540817017,2001.18275150363
"98","m[35]",0.761869487,0.752102,0.123762577778204,0.1205376039,0.5779317,0.984788,0.999914428394325,2053.79691462923,1999.17061010636
"99","m[36]",1.199070726,1.191065,0.125868702073286,0.121150659,1.0038455,1.4177805,1.00034427187636,1855.2349631935,1792.6269325879
"100","m[37]",1.0982795615,1.08519,0.148692769729961,0.1475424216,0.8786285,1.358353,1.00002921221069,2054.67713640669,2005.939048679
"101","m[38]",1.0989005815,1.089455,0.16274814876066,0.1630771044,0.84666365,1.381181,0.999941849873952,1961.1583707443,2029.12527091019
"102","m[39]",1.2615035785,1.24937,0.172333935149459,0.173063898,0.9962862,1.562988,1.00042246984895,1984.7601611332,1948.45289042861
"103","m[40]",1.0559062985,1.042345,0.208331740382167,0.1974815787,0.74346105,1.4256525,0.99978106872874,2096.10686904773,1644.75381592864
"104","m[41]",0.9847985065,0.972996,0.142520123559681,0.1365467187,0.77451235,1.2367945,1.00084236126981,1940.20777371703,2004.22343020712
"105","m[42]",1.1366764395,1.12582,0.130369843067628,0.123218886,0.9356616,1.365876,0.999691285971532,2093.56214203732,2003.46196224318
"106","m[43]",0.9347177505,0.9236115,0.13306404617641,0.1321478445,0.7340457,1.170091,1.00006425597615,2101.8264144781,1892.11130895843
"107","m[44]",0.8359643735,0.8304505,0.120787807808005,0.1128288252,0.648874,1.041561,1.00004412744662,1895.37107251667,1773.70747555507
"108","m[45]",1.0106535345,0.9947365,0.178752005212024,0.1755035163,0.74237215,1.3167085,1.00055774952066,1694.32847929411,1575.89400404858
"109","m[46]",0.9378356635,0.9153875,0.190640854833989,0.1797296676,0.6613972,1.2813745,0.999560009117166,2063.35297635248,1850.0387669085
"110","m[47]",0.9147300715,0.9075165,0.129357628576222,0.1258416054,0.7246734,1.147434,1.0004103443853,1984.86515636374,1780.44791891795
"111","m[48]",1.021373674,1.01402,0.130543508360451,0.1301967429,0.82059905,1.244254,1.00104915075813,1943.97342589099,1884.27190098687
"112","lam[1]",0.167181226445,0.1292735,0.135624383336904,0.09059894319,0.037189165,0.4372761,0.999576373374823,1846.29617834963,1922.7754964608
"113","lam[2]",0.24232661035,0.1965435,0.167962276089204,0.11630997,0.0676824,0.5658281,0.999540028643097,1911.84311840539,1813.80776091115
"114","lam[3]",0.30233596405,0.266948,0.170917786488005,0.1317972096,0.11571815,0.60308325,0.999699386162935,2106.32307663538,2139.54470319401
"115","lam[4]",0.1856036218,0.1419495,0.149135725188856,0.09536075787,0.043845065,0.48449425,1.00000517322183,1942.44645984784,1920.41288289967
"116","lam[5]",0.2980673083,0.2383625,0.215464742516601,0.1394867145,0.087467115,0.71570725,1.00002294580438,1776.69691385811,1921.86099939317
"117","lam[6]",0.35902105925,0.3164275,0.195017778017761,0.1558182948,0.1364635,0.7309745,0.999524064164764,2006.84615886529,1881.38126348884
"118","lam[7]",0.2993391219,0.261188,0.167698470684049,0.1346964339,0.1065953,0.63105585,0.999564299721576,1896.79391744809,1748.769200143
"119","lam[8]",0.3543393871,0.3158125,0.179770751543689,0.1378936608,0.1480371,0.6904979,0.999711624381323,2019.61042135144,1919.0426488087
"120","lam[9]",0.3108858362,0.269979,0.181516665910098,0.1489093788,0.10884735,0.65001995,1.00021179042366,2135.38178258386,2045.1897662217
"121","lam[10]",0.159961395235,0.1201505,0.137932301226373,0.08569368696,0.03405733,0.42025395,0.999960247956806,2089.95263222354,1962.49249375557
"122","lam[11]",0.3212631502,0.288439,0.16613349249106,0.14262612,0.1241728,0.6555085,1.00140445474005,2108.15363401733,2049.73930374305
"123","lam[12]",0.3220759635,0.2819775,0.17800155869967,0.140884065,0.1191305,0.65798385,1.00007270372452,1883.59332198309,1713.8970373738
"124","lam[13]",0.2218375526,0.1755385,0.177677475113703,0.11514420162,0.056455255,0.5568522,1.00168101614354,1921.30902364111,1984.36415175567
"125","lam[14]",0.171693974465,0.1301635,0.14249316651157,0.08842485855,0.041346945,0.4522379,0.999511282340226,1940.58501723089,1818.6077348136
"126","lam[15]",0.2210997872,0.1885285,0.137242480022845,0.1012059825,0.075909775,0.467927,0.999776957113838,1928.3207274437,1940.61422354472
"127","lam[16]",0.2429668714,0.1945155,0.19799514281712,0.1277578659,0.057770695,0.57922015,1.00010523521087,1964.06974439043,1772.94714068162
"128","lam[17]",0.2730374453,0.2188435,0.208616744975231,0.137481498,0.075369605,0.65925405,1.000137399579,1956.65494040588,1902.77021674037
"129","lam[18]",0.226398219,0.177258,0.178547562184337,0.11472825819,0.05794258,0.56539705,1.00060491778411,2036.19282904627,1834.78558595692
"130","lam[19]",0.2196552563,0.176965,0.160966569016443,0.11416183086,0.057768,0.54213805,1.00061153239181,1881.21598725135,1984.1868034044
"131","lam[20]",0.2650432519,0.2192665,0.17433023277977,0.1272248712,0.0835971,0.6078984,1.00034346396641,2025.1986068683,2001.6894980369
"132","lam[21]",0.203540521,0.160488,0.155441813512267,0.10079982423,0.050519085,0.5029319,0.99970778998848,2203.21994787131,2089.86299259656
