"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"85",-1028.21,-3.80488,1.77788,0.983173,0.417225,2.77194,0.550069,0.975854,1.45669,1,0,1,85,85
"86",-1023.65,-2.43822,1.85774,1.02581,0.376701,2.69982,0.600653,0.913797,1.46478,1,0,1,86,86
"87",-1042.73,-9.52644,1.80511,0.9771,0.528782,2.87544,0.550493,0.99617,1.49084,1,0,1,87,87
"88",-1024.37,-2.94938,1.77679,0.986043,0.318554,2.66687,0.636428,0.945414,1.44021,1,0,1,88,88
"89",-1036.46,-4.02152,1.79503,1.01172,0.343407,2.76086,0.528306,0.936418,1.48479,1,0,1,89,89
"90",-1026.1,-2.67927,1.83313,0.980365,0.397988,2.69849,0.610759,0.909261,1.50997,1,0,1,90,90
"91",-1025.27,-2.6994,1.8511,1.02239,0.336474,2.83409,0.644266,0.977817,1.47228,1,0,1,91,91
"92",-1024.44,-1.93204,1.82778,1.00311,0.346549,2.83899,0.605239,0.93616,1.44311,1,0,1,92,92
"93",-1029.61,-4.23457,1.77519,0.949418,0.433114,2.6694,0.599218,0.942986,1.49322,1,0,1,93,93
"94",-1026.78,-4.60487,1.8105,0.987223,0.314637,2.71777,0.623669,0.955614,1.54024,1,0,1,94,94
"95",-1027.44,-3.9442,1.76554,0.98967,0.440982,2.64646,0.58179,0.94442,1.47376,1,0,1,95,95
"96",-1025.88,-1.93976,1.81526,0.99101,0.377738,2.61314,0.639923,0.980189,1.48452,1,0,1,96,96
"97",-1027.91,-9.34063,1.84472,1.08213,0.434478,2.6721,0.711957,0.971796,1.47903,1,0,1,97,97
"98",-1024.61,-3.85736,1.76745,1.00213,0.458054,2.71649,0.614021,0.955589,1.4474,1,0,1,98,98
"99",-1026.15,-4.95405,1.79697,0.979702,0.316356,2.81808,0.639995,0.898602,1.42271,1,0,1,99,99
"100",-1029.82,-3.90142,1.81481,0.989892,0.419214,2.62124,0.685978,0.932041,1.47708,1,0,1,100,100
"101",-1027.83,-5.17894,1.85029,0.949715,0.440622,2.84257,0.591596,0.963103,1.49739,1,0,1,101,101
"102",-1025.14,-2.36206,1.80387,0.96385,0.417635,2.72895,0.66185,0.972807,1.47203,1,0,1,102,102
"103",-1024.38,-1.18095,1.8092,0.99569,0.407266,2.64745,0.607761,0.959044,1.46909,1,0,1,103,103
"104",-1028.93,-4.81622,1.77272,1.01025,0.423415,2.70918,0.585501,1.00113,1.51861,1,0,1,104,104
"105",-1025.27,-2.92322,1.8208,1.03945,0.330749,2.72932,0.634836,1.01755,1.45497,1,0,1,105,105
"106",-1025.13,-4.0829,1.82787,0.98916,0.320464,2.6847,0.571693,1.01399,1.43185,1,0,1,106,106
"107",-1061.94,-3.80152,1.78274,0.982379,0.334756,2.85636,0.584978,0.993173,1.50581,1,0,1,107,107
