"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"94",-284.533,-1.27057,1.88412,0.924561,0.536489,3.50068,0.701067,1.44485,1,0,0,1,94,94
"95",-287.377,-3.65171,1.90326,0.87894,0.429884,3.47803,0.689531,1.43476,1,0,0,1,95,95
"96",-290.512,-4.88047,1.86938,0.916351,0.653385,3.40875,0.615676,1.5087,1,0,0,1,96,96
"97",-282.966,-0.15881,1.88991,0.928343,0.50331,3.51455,0.695108,1.49541,1,0,0,1,97,97
"98",-284.42,-3.70158,1.88585,1.02153,0.527116,3.54882,0.661016,1.43731,1,0,0,1,98,98
"99",-284.675,-4.56881,1.87198,0.869893,0.595546,3.71395,0.746267,1.49137,1,0,0,1,99,99
"100",-285.402,-3.49431,1.84695,0.886755,0.434486,3.66303,0.691566,1.50529,1,0,0,1,100,100
"101",-288.501,-3.77561,1.84801,0.887584,0.627584,3.48998,0.638505,1.48607,1,0,0,1,101,101
"102",-286.177,-1.51454,1.89312,0.916821,0.563867,3.45158,0.695117,1.44676,1,0,0,1,102,102
"103",-283.988,-3.64516,1.9606,1.01825,0.50845,3.49476,0.675056,1.49173,1,0,0,1,103,103
"104",-282.982,-1.79743,1.86971,0.963843,0.597096,3.66657,0.692202,1.49132,1,0,0,1,104,104
"105",-283.851,-1.70408,1.9107,0.913029,0.500902,3.61769,0.703343,1.44977,1,0,0,1,105,105
"106",-284.239,-2.01613,1.93157,0.977588,0.461946,3.4968,0.708821,1.45125,1,0,0,1,106,106
"107",-283.066,-0.712213,1.91716,0.945492,0.455406,3.47001,0.687812,1.49494,1,0,0,1,107,107
"108",-283.326,-0.985731,1.8629,0.938213,0.511585,3.54378,0.740008,1.48617,1,0,0,1,108,108
"109",-285.065,-1.75621,1.92275,0.913852,0.449384,3.44462,0.715477,1.51069,1,0,0,1,109,109
"110",-283.248,-1.42376,1.90788,0.965235,0.564298,3.60781,0.656483,1.47611,1,0,0,1,110,110
"111",-287.66,-1.76319,1.89952,0.891731,0.616451,3.44824,0.678694,1.48442,1,0,0,1,111,111
"112",-283.932,-2.18523,1.90953,0.970531,0.473311,3.32226,0.687189,1.50301,1,0,0,1,112,112
"113",-287.178,-2.44134,1.93436,0.912376,0.448769,3.35095,0.699883,1.47389,1,0,0,1,113,113
"114",-285.664,-2.39686,1.8548,0.997695,0.474539,3.5226,0.702753,1.51965,1,0,0,1,114,114
"115",-283.363,-1.13483,1.89905,0.916498,0.508986,3.5853,0.726949,1.50771,1,0,0,1,115,115
"116",-283.142,-3.33171,1.9155,0.99432,0.62547,3.60658,0.721194,1.52123,1,0,0,1,116,116
"117",-285.905,-2.96962,1.94106,0.891804,0.413591,3.48306,0.705305,1.50304,1,0,0,1,117,117
"118",-284.732,-1.46631,1.86492,0.881356,0.500228,3.53091,0.703714,1.47845,1,0,0,1,118,118
"119",-286.249,-2.90655,1.86051,0.916189,0.511923,3.48837,0.762836,1.44709,1,0,0,1,119,119
"120",-283.442,-1.7395,1.84857,0.934355,0.557217,3.58557,0.738694,1.4839,1,0,0,1,120,120
"121",-285.93,-3.10245,1.86666,0.94903,0.586634,3.49058,0.774501,1.51373,1,0,0,1,121,121
"122",-285.133,-3.44001,1.8869,0.901215,0.544045,3.64112,0.641228,1.44432,1,0,0,1,122,122
"123",-285.551,-3.06917,1.88432,0.970158,0.565426,3.28596,0.689565,1.51162,1,0,0,1,123,123
"124",-283.436,-1.33531,1.92085,0.943947,0.485695,3.54257,0.661277,1.45843,1,0,0,1,124,124
"125",-289.785,-3.29095,1.8531,0.891508,0.611661,3.36826,0.727501,1.47035,1,0,0,1,125,125
"126",-285.932,-5.26182,1.91097,0.885948,0.600234,3.6698,0.760287,1.52937,1,0,0,1,126,126
"127",-284.245,-3.08993,1.88391,0.90793,0.370382,3.61907,0.687044,1.46771,1,0,0,1,127,127
"128",-285.324,-3.07767,1.91499,0.966854,0.542405,3.66397,0.62839,1.49156,1,0,0,1,128,128
"129",-284.151,-4.37312,1.92981,1.00066,0.490427,3.34314,0.647973,1.51966,1,0,0,1,129,129
"130",-287.427,-3.55903,1.84781,0.859538,0.60208,3.55075,0.695982,1.47764,1,0,0,1,130,130
"131",-286.037,-5.89389,1.89749,0.847628,0.535825,3.75295,0.657371,1.50673,1,0,0,1,131,131
"132",-286.888,-2.3674,1.84668,0.981448,0.434999,3.6165,0.715332,1.49157,1,0,0,1,132,132
"133",-286.64,-6.05164,1.83103,0.865229,0.615815,3.70054,0.716716,1.50947,1,0,0,1,133,133
"134",-284.293,-3.45011,1.87558,1.00051,0.703112,3.59179,0.680889,1.47683,1,0,0,1,134,134
"135",-286.946,-4.63489,1.80777,0.921372,0.480361,3.37653,0.734446,1.4669,1,0,0,1,135,135
"136",-288.001,-4.58927,1.81092,0.91609,0.530544,3.64413,0.659861,1.50677,1,0,0,1,136,136
"137",-282.603,-1.3546,1.91807,0.985662,0.579816,3.57233,0.684483,1.48941,1,0,0,1,137,137
"138",-285.565,-2.41761,1.85691,0.876957,0.49002,3.52986,0.729275,1.46514,1,0,0,1,138,138
"139",-288.899,-2.45614,1.90766,0.883084,0.629407,3.49145,0.714929,1.4639,1,0,0,1,139,139
"140",-283.767,-1.09912,1.8736,0.946451,0.558911,3.55746,0.659041,1.50142,1,0,0,1,140,140
"141",-283.024,-1.14521,1.87824,0.98322,0.457524,3.50713,0.662512,1.48234,1,0,0,1,141,141
"142",-286.715,-2.17633,1.89541,0.931851,0.479439,3.331,0.746476,1.48492,1,0,0,1,142,142
"143",-291.621,-4.46342,1.89231,0.94122,0.688728,3.35173,0.754336,1.45449,1,0,0,1,143,143
"144",-286.471,-1.41977,1.91227,0.911122,0.546231,3.4789,0.723067,1.4549,1,0,0,1,144,144
"145",-284.077,-1.56846,1.92378,0.933668,0.47791,3.5071,0.659059,1.45617,1,0,0,1,145,145
"146",-293.219,-8.46826,1.82819,0.980466,0.546732,3.7087,0.740527,1.56245,1,0,0,1,146,146
"147",-285.532,-4.60529,1.90171,0.963517,0.352284,3.47523,0.652482,1.52106,1,0,0,1,147,147
"148",-285.816,-5.72148,1.95442,0.924512,0.626948,3.65016,0.713287,1.54171,1,0,0,1,148,148
"149",-285.484,-3.2998,1.81346,0.946098,0.570225,3.43467,0.717768,1.47962,1,0,0,1,149,149
"150",-284.692,-2.15558,1.90395,0.944541,0.574449,3.52034,0.674863,1.53248,1,0,0,1,150,150
"151",-284.479,-3.44338,1.90155,0.901948,0.431068,3.7248,0.660992,1.50163,1,0,0,1,151,151
"152",-285.255,-4.34375,1.88915,0.891002,0.670409,3.73384,0.675679,1.49316,1,0,0,1,152,152
"153",-283.137,-0.907455,1.89653,0.969813,0.435773,3.4706,0.716938,1.48607,1,0,0,1,153,153
"154",-285.36,-3.48615,1.93843,0.924561,0.447323,3.37859,0.646124,1.51208,1,0,0,1,154,154
"155",-283.527,-0.902186,1.90164,0.946632,0.45001,3.46732,0.70436,1.45869,1,0,0,1,155,155
"156",-282.701,-1.43566,1.90954,0.930762,0.468827,3.67195,0.711914,1.47482,1,0,0,1,156,156
"157",-284.548,-5.75833,1.8973,0.994365,0.758672,3.62141,0.749636,1.51051,1,0,0,1,157,157
"158",-290.013,-3.13983,1.93833,0.904196,0.564406,3.39584,0.754925,1.4919,1,0,0,1,158,158
"159",-284.059,-1.60742,1.8604,0.938235,0.408441,3.56829,0.682515,1.48653,1,0,0,1,159,159
"160",-284.247,-1.77586,1.85907,0.941648,0.439695,3.58368,0.652573,1.48776,1,0,0,1,160,160
"161",-285.698,-3.71991,1.92769,0.958587,0.384677,3.60029,0.733966,1.51644,1,0,0,1,161,161
"162",-283.273,-3.06984,1.91364,0.898881,0.543981,3.73854,0.699163,1.4631,1,0,0,1,162,162
"163",-284.851,-2.80214,1.88399,0.879254,0.403466,3.47747,0.660259,1.48175,1,0,0,1,163,163
"164",-284.945,-2.91011,1.90256,0.959705,0.463904,3.57364,0.625248,1.51309,1,0,0,1,164,164
"165",-283.182,-1.41255,1.92397,0.942923,0.571363,3.5864,0.698408,1.50979,1,0,0,1,165,165
"166",-290.073,-3.3118,1.87252,0.898954,0.622551,3.40556,0.741646,1.45153,1,0,0,1,166,166
"167",-283.614,-1.60983,1.91081,0.948392,0.437377,3.41037,0.682133,1.51072,1,0,0,1,167,167
"168",-284.703,-4.22541,1.82841,1.0134,0.498316,3.34925,0.68152,1.49395,1,0,0,1,168,168
"169",-287.81,-5.61162,1.86125,1.0352,0.46902,3.46071,0.794325,1.47343,1,0,0,1,169,169
"170",-284.172,-2.06704,1.83388,0.983109,0.475026,3.50659,0.701365,1.47288,1,0,0,1,170,170
"171",-285.376,-2.49015,1.87432,0.966747,0.590342,3.5493,0.62766,1.48101,1,0,0,1,171,171
"172",-284.087,-1.34007,1.86656,0.957117,0.566532,3.49123,0.665193,1.50906,1,0,0,1,172,172
"173",-283.295,-2.00156,1.86589,0.996024,0.550056,3.64585,0.711725,1.47317,1,0,0,1,173,173
"174",-283.828,-1.69644,1.91043,1.0041,0.458651,3.5945,0.685781,1.47967,1,0,0,1,174,174
"175",-284.764,-3.28389,1.91469,0.873229,0.446095,3.65544,0.728317,1.46941,1,0,0,1,175,175
"176",-287.651,-3.73419,1.89406,0.994377,0.483667,3.74538,0.712663,1.51864,1,0,0,1,176,176
"177",-284.212,-1.93567,1.86456,0.955038,0.448058,3.43606,0.670384,1.51785,1,0,0,1,177,177
"178",-289.055,-2.96222,1.8675,0.999907,0.399375,3.63627,0.686926,1.47866,1,0,0,1,178,178
"179",-285.799,-2.02303,1.87458,0.952535,0.647741,3.43257,0.727119,1.46743,1,0,0,1,179,179
"180",-283.127,-1.02873,1.86527,0.946342,0.508357,3.49155,0.691545,1.45222,1,0,0,1,180,180
"181",-285.567,-3.45556,1.89942,0.963319,0.549635,3.30121,0.634755,1.47482,1,0,0,1,181,181
"182",-285.524,-3.68103,1.93212,0.930108,0.36428,3.49561,0.737657,1.49762,1,0,0,1,182,182
"183",-284.416,-3.42483,1.84307,1.02771,0.548585,3.51299,0.679164,1.46141,1,0,0,1,183,183
"184",-284.107,-1.11693,1.88449,0.932944,0.497292,3.45222,0.693771,1.5203,1,0,0,1,184,184
"185",-284.18,-3.45145,1.9098,0.89756,0.420853,3.65104,0.65229,1.45597,1,0,0,1,185,185
"186",-284.915,-2.52322,1.86877,0.982878,0.488615,3.3959,0.761526,1.4924,1,0,0,1,186,186
"187",-284.321,-2.91845,1.84947,0.931141,0.395504,3.54601,0.657958,1.4643,1,0,0,1,187,187
"188",-282.968,-1.61433,1.89915,0.965401,0.565754,3.64523,0.669425,1.46367,1,0,0,1,188,188
"189",-288.048,-2.74526,1.88821,0.893044,0.53316,3.32049,0.669707,1.5039,1,0,0,1,189,189
"190",-283.582,-1.34335,1.85544,0.922055,0.54396,3.54889,0.673773,1.46142,1,0,0,1,190,190
"191",-289.212,-3.90866,1.86487,1.02194,0.497974,3.67007,0.65209,1.46206,1,0,0,1,191,191
"192",-283.146,-0.572206,1.86626,0.927885,0.535606,3.54998,0.699978,1.49709,1,0,0,1,192,192
"193",-286.728,-2.52718,1.93836,0.932305,0.630494,3.52121,0.742904,1.48154,1,0,0,1,193,193
"194",-284.759,-3.35678,1.96616,0.946566,0.526299,3.61569,0.740214,1.49062,1,0,0,1,194,194
"195",-285.434,-4.5031,1.92768,0.91884,0.467574,3.63819,0.780338,1.52109,1,0,0,1,195,195
"196",-287.344,-2.05141,1.88087,0.872797,0.558157,3.48751,0.712682,1.46381,1,0,0,1,196,196
"197",-282.469,-0.433098,1.89387,0.949439,0.50619,3.55638,0.678505,1.466,1,0,0,1,197,197
"198",-285.802,-5.53272,1.97798,1.0163,0.503315,3.54713,0.644835,1.47202,1,0,0,1,198,198
"199",-283.343,-2.58962,1.8979,0.927683,0.513052,3.76435,0.675141,1.48224,1,0,0,1,199,199
"200",-284.245,-2.19269,1.88264,0.897473,0.388696,3.52128,0.706023,1.47502,1,0,0,1,200,200
"201",-287.899,-3.45271,1.93183,0.951305,0.58662,3.34971,0.649213,1.45624,1,0,0,1,201,201
"202",-286.472,-3.91272,1.9574,0.897989,0.400312,3.539,0.6873,1.46279,1,0,0,1,202,202
"203",-289.056,-3.28971,1.91185,0.852402,0.470345,3.41699,0.70702,1.49674,1,0,0,1,203,203
"204",-289.855,-6.32696,1.89824,0.965095,0.347752,3.71631,0.739744,1.44543,1,0,0,1,204,204
"205",-284.175,-0.767566,1.88057,0.935382,0.535269,3.41153,0.68467,1.50183,1,0,0,1,205,205
"206",-288.019,-4.97828,1.9294,0.993057,0.632461,3.54425,0.614421,1.50196,1,0,0,1,206,206
"207",-284.321,-3.29407,1.9114,0.926934,0.443412,3.68124,0.715146,1.43902,1,0,0,1,207,207
"208",-285.95,-3.71465,1.89243,0.873098,0.476516,3.5748,0.634876,1.51464,1,0,0,1,208,208
"209",-283.549,-0.388961,1.88087,0.944975,0.56805,3.4589,0.698759,1.48155,1,0,0,1,209,209
"210",-286.39,-4.41906,1.87131,0.994255,0.726829,3.42406,0.704403,1.51515,1,0,0,1,210,210
"211",-284.265,-2.8243,1.91915,0.951667,0.401277,3.42318,0.684999,1.52138,1,0,0,1,211,211
"212",-285.919,-4.19278,1.86451,1.00515,0.72849,3.49633,0.669751,1.47625,1,0,0,1,212,212
"213",-292.013,-5.84698,1.92923,0.880374,0.734335,3.56034,0.76245,1.48798,1,0,0,1,213,213
"214",-285.333,-2.37521,1.87517,0.92826,0.555931,3.47604,0.623427,1.4731,1,0,0,1,214,214
"215",-283.73,-1.92444,1.94484,0.945156,0.449685,3.58997,0.688659,1.46876,1,0,0,1,215,215
"216",-283.81,-1.43178,1.86121,0.896381,0.516412,3.59887,0.690559,1.49593,1,0,0,1,216,216
"217",-284.69,-2.8203,1.91216,1.01165,0.406045,3.52662,0.671016,1.4705,1,0,0,1,217,217
"218",-283.095,-0.426787,1.87609,0.950139,0.551969,3.48066,0.676999,1.48984,1,0,0,1,218,218
"219",-285.058,-3.39384,1.88349,0.898511,0.419494,3.65032,0.724911,1.52245,1,0,0,1,219,219
"220",-288.929,-4.21052,1.8482,1.00712,0.545636,3.57399,0.626668,1.50464,1,0,0,1,220,220
"221",-283.981,-1.5009,1.90878,0.922056,0.453496,3.50228,0.667584,1.45264,1,0,0,1,221,221
"222",-284.595,-1.90053,1.89896,0.907061,0.634818,3.59983,0.706474,1.50044,1,0,0,1,222,222
"223",-282.626,-0.862446,1.87678,0.969263,0.57035,3.53462,0.721692,1.49529,1,0,0,1,223,223
"224",-287.379,-2.64153,1.84417,0.891498,0.530372,3.36612,0.698936,1.47454,1,0,0,1,224,224
"225",-285.701,-1.10298,1.90038,0.925602,0.625068,3.46666,0.71189,1.48343,1,0,0,1,225,225
"226",-289.126,-6.75374,1.97758,0.929887,0.62258,3.52966,0.759245,1.53331,1,0,0,1,226,226
"227",-283.271,-1.09959,1.8867,0.94978,0.492087,3.54923,0.644738,1.4922,1,0,0,1,227,227
"228",-292.184,-4.15929,1.90882,0.84191,0.607223,3.46114,0.718217,1.47701,1,0,0,1,228,228
"229",-287.89,-3.34186,1.93258,0.890994,0.506721,3.50891,0.663054,1.43867,1,0,0,1,229,229
"230",-283.56,-0.61678,1.87068,0.92783,0.489161,3.43885,0.679173,1.49189,1,0,0,1,230,230
"231",-287.142,-2.70329,1.91853,0.936153,0.577845,3.33147,0.697638,1.51706,1,0,0,1,231,231
"232",-285.487,-3.77402,1.8679,1.02446,0.458876,3.40553,0.710977,1.52353,1,0,0,1,232,232
"233",-284.245,-6.80507,1.94865,0.906242,0.512945,3.81655,0.741613,1.52313,1,0,0,1,233,233
"234",-283.782,-1.97216,1.88348,0.903736,0.470226,3.65541,0.68667,1.51184,1,0,0,1,234,234
"235",-284.708,-6.21996,1.87573,1.06834,0.691939,3.55154,0.689422,1.46456,1,0,0,1,235,235
"236",-289.204,-4.02219,1.87753,0.962948,0.451882,3.75694,0.690081,1.52699,1,0,0,1,236,236
"237",-285.912,-2.68928,1.91816,0.944858,0.506086,3.46258,0.674675,1.42969,1,0,0,1,237,237
"238",-288.956,-4.33583,1.89074,0.963853,0.704752,3.57918,0.625101,1.49306,1,0,0,1,238,238
"239",-288.196,-2.75637,1.8537,0.99523,0.479138,3.67264,0.697397,1.50584,1,0,0,1,239,239
"240",-286.38,-3.4886,1.9545,0.95639,0.677969,3.56184,0.702238,1.47612,1,0,0,1,240,240
"241",-284.305,-5.27875,1.89204,0.992897,0.470515,3.22725,0.651764,1.50858,1,0,0,1,241,241
"242",-283.152,-1.51333,1.91887,0.979448,0.487773,3.60178,0.65959,1.48365,1,0,0,1,242,242
"243",-286.288,-1.57483,1.92488,0.939473,0.580489,3.43046,0.686666,1.45771,1,0,0,1,243,243
"244",-284.985,-3.70894,1.83129,0.922315,0.450686,3.53304,0.732676,1.44162,1,0,0,1,244,244
"245",-284.805,-2.99181,1.93057,1.00413,0.599234,3.46851,0.720191,1.45518,1,0,0,1,245,245
"246",-283.74,-2.21024,1.92387,0.929553,0.461356,3.56349,0.63566,1.47215,1,0,0,1,246,246
"247",-287.216,-3.37458,1.83329,0.907793,0.615078,3.48314,0.726014,1.51176,1,0,0,1,247,247
