"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"92",-9623.35,-5.27875,1.31074,0.991786,0.503439,3.62709,0.700293,1.054,1.46471,1,0,1,92,92
"93",-9492.31,-3.13954,1.28154,0.935116,0.523225,3.20425,0.808295,1.0932,1.4654,1,0,1,93,93
"94",-9511.45,-2.67514,1.30982,0.930761,0.505519,3.27843,0.71178,1.04905,1.47122,1,0,1,94,94
"95",-9512.15,-2.72259,1.28722,0.856343,0.44745,3.36175,0.745193,1.0691,1.4595,1,0,1,95,95
"96",-9512.05,-1.84812,1.2924,0.921043,0.507637,2.99712,0.793021,1.03655,1.48168,1,0,1,96,96
"97",-9488.99,-5.03551,1.29785,0.932143,0.52889,3.44448,0.840533,1.0847,1.46417,1,0,1,97,97
"98",-9517.01,-5.68049,1.27758,0.947691,0.397263,2.98871,0.68939,1.08095,1.44856,1,0,1,98,98
"99",-9517.53,-3.98286,1.26031,0.878685,0.410473,3.23105,0.723789,1.03607,1.4778,1,0,1,99,99
"100",-9514.92,-4.40018,1.3013,0.917306,0.433471,2.93793,0.717557,1.02517,1.44713,1,0,1,100,100
"101",-9517.65,-2.51188,1.30027,0.988953,0.449522,3.14577,0.733356,1.02146,1.4643,1,0,1,101,101
"102",-9647.4,-4.60709,1.26617,0.932252,0.447958,3.92302,0.707075,1.0332,1.46934,1,0,1,102,102
"103",-9515.59,-2.60422,1.2726,0.90154,0.535221,3.31042,0.712965,1.03655,1.46541,1,0,1,103,103
"104",-9510.5,-3.44164,1.28158,0.881378,0.451034,3.13285,0.719739,0.992536,1.48642,1,0,1,104,104
"105",-9505.71,-4.21988,1.27706,0.927002,0.412883,3.34418,0.724635,1.07652,1.44539,1,0,1,105,105
"106",-9534.53,-1.65741,1.28591,0.982144,0.437189,3.45362,0.742123,1.05641,1.48211,1,0,1,106,106
"107",-9536.05,-2.6627,1.28667,0.917448,0.482613,2.79116,0.776112,1.04165,1.49167,1,0,1,107,107
"108",-9568.71,-3.0331,1.28342,1.00292,0.487874,3.4808,0.731016,1.09204,1.47446,1,0,1,108,108
"109",-9512.38,-2.31166,1.30616,0.938186,0.491592,2.94805,0.775019,1.05736,1.47362,1,0,1,109,109
"110",-9528.13,-7.06931,1.29507,0.909162,0.551014,3.61918,0.73047,1.07912,1.50683,1,0,1,110,110
"111",-9509.38,-1.89222,1.27777,0.982675,0.452938,3.41773,0.797407,1.05008,1.47485,1,0,1,111,111
"112",-9485.62,-4.47707,1.27909,0.894987,0.530761,3.48691,0.766479,1.11001,1.46326,1,0,1,112,112
"113",-9522.48,-3.98444,1.30781,0.896571,0.479625,3.25069,0.685909,1.0826,1.46205,1,0,1,113,113
"114",-9532.92,-4.91097,1.3045,0.947245,0.479614,3.27185,0.688458,0.997749,1.45475,1,0,1,114,114
"115",-9542.27,-3.04368,1.30215,0.944117,0.472644,3.07486,0.6666,1.04945,1.46758,1,0,1,115,115
"116",-9521.94,-5.09535,1.26432,0.891313,0.434974,3.59617,0.776141,1.06457,1.49868,1,0,1,116,116
"117",-9530.77,-1.91368,1.27507,0.982475,0.490869,3.34561,0.733862,1.02703,1.48366,1,0,1,117,117
"118",-9510.09,-2.29565,1.27649,0.977329,0.451531,3.31678,0.749219,1.02046,1.4565,1,0,1,118,118
"119",-9513.03,-5.05415,1.28962,0.856864,0.525851,3.25133,0.745316,1.03289,1.50159,1,0,1,119,119
"120",-9504.29,-3.14448,1.30926,0.928548,0.43702,3.02357,0.72591,1.05432,1.4892,1,0,1,120,120
"121",-9569.32,-5.11149,1.29108,0.943576,0.430644,3.06182,0.867918,1.01279,1.46697,1,0,1,121,121
