"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"33","I[18]",2.62768973,2.61229,0.278539048796537,0.274962996,2.183539,3.109926,1.00021614354357,1780.11276491147,1904.80396920879
"34","I[19]",1.0644848375,1.04927,0.191678684346456,0.1894206825,0.77849075,1.400265,1.00137058663015,2004.06678467067,2040.5586182933
"35","I[20]",0.9861167845,0.9694155,0.165786252851484,0.1601645367,0.73929775,1.274687,0.999746460354367,2174.31421688126,1923.18198642689
"36","I[21]",2.88451107,2.87128,0.330458172228274,0.326298021,2.361687,3.4562675,1.00001913332531,1715.63184612529,1601.08633624106
"37","I[22]",2.48549447,2.46939,0.258243376836578,0.248646846,2.0861885,2.932133,1.00062809266629,1698.12736193221,1819.70705273568
"38","I[23]",2.6143037,2.61359,0.26302744644885,0.261634422,2.1912285,3.0443465,1.00006387752229,2024.88457975275,1962.73343888589
"39","I[24]",3.174096935,3.15849,0.317097646658429,0.304355541,2.6768705,3.7325215,1.00265642458747,1793.11169801033,1170.42470009806
"40","I[25]",2.43272329,2.407395,0.281756482728358,0.265896896999999,2.011537,2.9253065,1.00008473578131,2212.82366603011,1848.35969851064
"41","I[26]",2.61924044,2.606065,0.257698420046871,0.253250319,2.207644,3.062486,0.999510752895822,2010.77090936272,1889.43118338551
"42","I[27]",2.865958785,2.83795,0.316853130089948,0.320849466,2.384156,3.4042215,0.999838063540022,1905.09875045589,1778.96689638156
"43","I[28]",2.4002598,2.383375,0.270062902503684,0.263146674,1.990723,2.8699235,0.999633427739856,1885.68544026247,2004.22343020712
"44","I[29]",3.22364468,3.212895,0.349961730781958,0.337239609,2.6597255,3.8202845,1.00049092896766,2059.14762669874,2045.1897662217
"45","I[30]",2.784288295,2.766975,0.272539644993329,0.271693863,2.365587,3.25713,0.999930295288036,2106.20327410876,1923.00432897657
"46","I[31]",2.08911381,2.0742,0.239215335511241,0.239313879,1.72256,2.5165555,1.00155803085825,1901.83465081543,1787.237636581
"47","I[32]",1.979621905,1.965325,0.233061515789914,0.236200419,1.6232985,2.403991,1.00084427639291,1901.08326018297,1919.35298469675
"48","I[33]",0.7794532515,0.7734685,0.122454644918314,0.1150912728,0.5944662,0.9915646,0.999545968522905,1987.75655896113,1876.48857834148
"49","I[34]",3.691281965,3.66612,0.376132718984448,0.376817616,3.097019,4.332403,1.00055165497995,1989.33839448372,1917.77588125222
"50","I[35]",1.8422004,1.823065,0.240953993752527,0.237594063,1.486665,2.2728235,1.00105000048203,1874.45672068138,1661.45072658436
"51","I[36]",1.89450492,1.86688,0.292523087668141,0.287305641,1.4670645,2.41827,1.00051754508462,2093.18529929591,1914.27408459556
"52","I[37]",2.24193699,2.22571,0.29030607643442,0.306060531,1.809539,2.7368575,0.99967212252867,2014.54312420795,1848.18348636236
"53","I[38]",2.02072514,2.00881,0.213090392736554,0.2090466,1.6990065,2.398614,0.999752112304762,1878.92239292312,2002.11038000361
"54","I[39]",0.777526017,0.765259,0.13187684399233,0.1290329019,0.58452305,1.0210755,1.00046272995836,1994.58006848122,1994.05793484672
"55","I[40]",2.76167774,2.743835,0.309616702680236,0.298328772,2.279235,3.2827635,0.999658655490505,1855.21522475579,1850.48351915951
"56","I[41]",3.97560897,3.956095,0.375998515145253,0.373029573,3.386482,4.612124,1.0002154592986,1985.78329479239,1855.80834033669
"57","I[42]",1.782164095,1.77152,0.206240106203872,0.207304545,1.470834,2.136913,1.00046955442536,2020.57981602585,1812.9147643393
"58","I[43]",0.988461892,0.9789805,0.149534126109945,0.1460479608,0.76323865,1.244847,0.99976996498402,1984.73832378077,1962.49249375557
"59","I[44]",2.93924158,2.926675,0.244981600076397,0.242568186,2.555338,3.355974,1.00094928026929,1651.57962385579,1883.11399664497
"60","I[45]",1.59956458,1.596095,0.164610095834213,0.158475114,1.337511,1.869728,1.00243257800243,1991.47243929949,1857.46907218138
"61","I[46]",1.168482998,1.159945,0.149212174894864,0.149194038,0.94014145,1.4230925,1.00046734883877,1843.05453755295,1902.39817514146
"62","I[47]",2.261126315,2.24967,0.261757613156128,0.252494193,1.851719,2.720461,0.999698796106025,1855.26453064943,1922.7754964608
"63","I[48]",2.70670019,2.68913,0.265684763218306,0.258950916,2.2876455,3.1756845,0.99989512881661,1960.82442026715,1700.89330836017
"64","I[49]",1.88206523,1.857465,0.245476464686545,0.240462894,1.5141575,2.323133,1.00000406025041,1839.49297003615,1812.39040457002
"65","I[50]",0.92614649,0.916653,0.134052336987886,0.1316089194,0.72799945,1.160862,0.999506203865505,2014.98498366325,2003.88489292958
"66","I[51]",1.88980394,1.871575,0.255201584713725,0.249655014,1.4965515,2.335069,0.999708755877135,2025.92182586656,1882.31921405841
"67","I[52]",3.80038565,3.773795,0.380391881180858,0.39029445,3.2010535,4.4475125,0.999918337598417,1897.37402717993,1858.07765853984
"68","I[53]",2.242707155,2.224825,0.252002220808671,0.259892367,1.850409,2.6752325,0.99996519983201,1876.1268052777,1739.48707376637
"69","I[54]",2.413790965,2.405325,0.293495708823941,0.287090664,1.965716,2.9100515,0.999801074367855,2124.02972182118,1944.83397136511
"70","I[55]",2.39001858,2.374405,0.259921252399853,0.252345933,1.9947275,2.8404775,1.00006095116563,1929.9033897129,2035.73600989577
"71","I[56]",2.490895085,2.472925,0.2562039094819,0.24848376,2.093639,2.922632,0.999553831931924,2141.66924457557,1961.54241459676
"72","I[57]",2.67655618,2.66549,0.260700361324078,0.260529885,2.2655365,3.124019,0.999570363633736,1949.29796025171,1854.09438352171
"73","I[58]",3.203723745,3.163915,0.462168985452705,0.460762428,2.521623,4.0163755,0.999952848846289,1862.81783067,1917.19578780556
"74","I[59]",1.4151830905,1.40584,0.166627306824593,0.164042277,1.1617035,1.711574,1.00027918981893,1996.68082458098,1760.32329705884
"75","I[60]",2.61129232,2.59108,0.294502094898776,0.290708208,2.1736865,3.1485935,1.00012065641792,2097.42693137535,2089.13154864189
"76","I[61]",2.757144195,2.746055,0.293214939955758,0.291864636,2.2889125,3.2542415,1.00194376541928,2003.02178138425,1779.40994590476
"77","I[62]",1.64093306,1.63103,0.209090042903188,0.210595917,1.318218,2.001928,0.999558553641756,2050.02748429536,1893.00667623692
"78","I[63]",3.266192805,3.257255,0.352890827622357,0.360620211,2.7056045,3.859942,1.00077299827124,2016.88436347863,2003.88489292958
"79","m[1]",1.0143742065,1.0000525,0.158821729180165,0.1577612421,0.77543835,1.3003,0.999615849849525,1947.2741534468,1706.84859987229
"80","m[2]",0.9478470265,0.9264205,0.185563693015564,0.1806607404,0.67737255,1.276726,0.999925605737028,1667.46817462397,1738.1908186706
"81","m[3]",1.131633171,1.121235,0.154163451017901,0.154175574,0.8992425,1.3992805,1.0000485853483,1991.77273149609,1921.17599996482
"82","m[4]",0.8078818165,0.7966525,0.129062051283844,0.1262367183,0.61897615,1.0321865,1.00033639858579,1948.95338108315,1962.09111755608
"83","m[5]",0.709340929,0.695102,0.132839267673941,0.128230074,0.51166985,0.9462168,0.999854741288103,2015.72962692249,1868.22942001319
"84","m[6]",0.91593095,0.902657,0.175694156890542,0.1722373485,0.6569229,1.227626,1.00056604888584,1929.64383705055,2091.66792589589
"85","m[7]",0.998572343,0.9747545,0.214704802756698,0.2141504505,0.6859568,1.3805315,0.999705947221213,1932.02311279652,1881.7507996712
"86","m[8]",1.1016759935,1.094275,0.136645134367008,0.13943853,0.89543535,1.331026,1.00053484796942,1937.10727979395,1852.59773846872
"87","m[9]",1.0265879715,1.00968,0.162891464880847,0.1550584623,0.78834305,1.3301905,0.999642234879018,2114.10537503204,1804.20751052324
"88","m[10]",1.0025421835,0.990391,0.147343826836815,0.1401375759,0.78232365,1.252665,0.999656738668632,2099.93165504216,2012.3402948107
